kernel,H,W,K,TH,TW,width,unroll,reps,ms,gflops,instructions,l1_loads,l1_misses,mpki
combo,2048,2048,3,128,128,0,2,20,34.0083,2.220,5942607020,1636668889,98937443,16.6488
combo,2048,2048,3,256,256,0,2,20,34.6933,2.176,5828114471,1622975804,90137238,15.4659
combo,2048,2048,3,512,512,0,2,20,35.7158,2.114,5771439914,1616277755,84494860,14.6402
combo,2048,2048,3,0,0,0,2,20,45.1772,1.671,5730430600,1611684748,42316614,7.3845
combo,2048,2048,3,16,16,128,1,20,18.6140,4.056,4312140287,684306466,93205995,21.6148
combo,2048,2048,3,32,32,128,1,20,14.2268,5.307,3210398713,548269904,108623103,33.8348
combo,2048,2048,3,64,64,128,1,20,12.5792,6.002,2682007254,487604735,89907272,33.5224
combo,2048,2048,3,128,128,128,1,20,11.5502,6.536,2422687067,458969273,83692590,34.5454
combo,2048,2048,3,256,256,128,1,20,11.8158,6.390,2294904731,445207225,77492762,33.7673
combo,2048,2048,3,512,512,128,1,20,14.4797,5.214,2232127307,438641299,38064840,17.0532
combo,2048,2048,3,0,0,128,1,20,28.3131,2.667,2187261209,434262183,12566093,5.7451
combo,2048,2048,3,16,16,128,2,20,18.1024,4.171,4080371980,684099690,86397904,21.1740
combo,2048,2048,3,32,32,128,2,20,15.5439,4.857,2823792267,548259570,106876292,37.8485
combo,2048,2048,3,64,64,128,2,20,10.9017,6.925,2217458564,487573702,82066392,37.0092
combo,2048,2048,3,128,128,128,2,20,10.3125,7.321,1919257706,458915434,75340195,39.2549
combo,2048,2048,3,256,256,128,2,20,11.1596,6.765,1772110338,445173060,79701425,44.9754
combo,2048,2048,3,512,512,128,2,20,13.9727,5.403,1699669485,438613789,37266498,21.9257
combo,2048,2048,3,0,0,128,2,20,30.7541,2.455,1648154159,434414733,10984369,6.6646
combo,2048,2048,3,16,16,256,1,20,17.9604,4.204,3307453364,487977345,73606897,22.2549
combo,2048,2048,3,32,32,256,1,20,16.6323,4.539,2287727327,352250402,110658072,48.3703
combo,2048,2048,3,64,64,256,1,20,10.8540,6.956,1798881724,291375335,97586763,54.2486
combo,2048,2048,3,128,128,256,1,20,8.5848,8.794,1559806168,262714059,78666586,50.4336
combo,2048,2048,3,256,256,256,1,20,10.1980,7.403,1443079961,249195917,75467254,52.2960
combo,2048,2048,3,512,512,256,1,20,13.9868,5.398,1384754272,242472949,53237579,38.4455
combo,2048,2048,3,0,0,256,1,20,27.5552,2.740,1344092351,238217373,31136675,23.1656
combo,2048,2048,3,16,16,256,2,20,20.3672,3.707,3307932035,488100629,66848602,20.2086
combo,2048,2048,3,32,32,256,2,20,16.8132,4.490,2106257792,352294246,110053272,52.2506
combo,2048,2048,3,64,64,256,2,20,11.8302,6.382,1526274324,291379265,103557869,67.8501
combo,2048,2048,3,128,128,256,2,20,8.3028,9.093,1241829805,262707537,74584520,60.0602
