kernel,H,W,K,TH,TW,width,unroll,reps,ms,gflops,instructions,l1_loads,l1_misses,mpki
combo,2048,2048,3,32,32,0,1,20,22.1864,3.403,,,,
combo,2048,2048,3,64,64,0,1,20,19.2904,3.914,,,,
combo,2048,2048,3,128,128,0,1,20,16.2166,4.656,,,,
combo,2048,2048,3,256,256,0,1,20,15.0181,5.027,,,,
combo,2048,2048,3,512,512,0,1,20,14.3727,5.253,,,,
combo,2048,2048,3,0,0,0,1,20,15.2199,4.960,,,,
combo,2048,2048,3,16,16,0,2,20,20.2204,3.734,,,,
combo,2048,2048,3,32,32,0,2,20,18.1292,4.164,,,,
combo,2048,2048,3,64,64,0,2,20,16.3071,4.630,,,,
combo,2048,2048,3,128,128,0,2,20,15.2633,4.946,,,,
combo,2048,2048,3,256,256,0,2,20,14.3719,5.253,,,,
combo,2048,2048,3,512,512,0,2,20,13.8983,5.432,,,,
combo,2048,2048,3,0,0,0,2,20,15.7976,4.779,,,,
combo,2048,2048,3,16,16,128,1,20,9.2717,8.143,,,,
combo,2048,2048,3,32,32,128,1,20,8.9738,8.413,,,,
combo,2048,2048,3,64,64,128,1,20,5.7112,13.219,,,,
combo,2048,2048,3,128,128,128,1,20,5.5155,13.688,,,,
combo,2048,2048,3,256,256,128,1,20,7.7515,9.740,,,,
combo,2048,2048,3,512,512,128,1,20,9.6346,7.836,,,,
combo,2048,2048,3,0,0,128,1,20,10.2514,7.365,,,,
combo,2048,2048,3,16,16,128,2,20,9.0270,8.363,,,,
combo,2048,2048,3,32,32,128,2,20,8.7523,8.626,,,,
combo,2048,2048,3,64,64,128,2,20,4.8638,15.522,,,,
combo,2048,2048,3,128,128,128,2,20,4.8412,15.595,,,,
combo,2048,2048,3,256,256,128,2,20,7.5409,10.012,,,,
combo,2048,2048,3,512,512,128,2,20,9.3591,8.067,,,,
combo,2048,2048,3,0,0,128,2,20,9.2682,8.146,,,,
combo,2048,2048,3,16,16,256,1,20,9.4733,7.970,,,,
combo,2048,2048,3,32,32,256,1,20,8.5912,8.788,,,,
combo,2048,2048,3,64,64,256,1,20,5.4621,13.822,,,,
combo,2048,2048,3,128,128,256,1,20,3.7495,20.135,,,,
combo,2048,2048,3,256,256,256,1,20,6.5535,11.520,,,,
combo,2048,2048,3,512,512,256,1,20,9.2499,8.162,,,,
combo,2048,2048,3,0,0,256,1,20,9.6104,7.856,,,,
combo,2048,2048,3,16,16,256,2,20,10.9251,6.910,,,,
combo,2048,2048,3,32,32,256,2,20,8.4396,8.946,,,,
combo,2048,2048,3,64,64,256,2,20,5.7914,13.036,,,,
combo,2048,2048,3,128,128,256,2,20,3.7289,20.247,,,,
combo,2048,2048,3,256,256,256,2,20,6.2405,12.098,,,,
combo,2048,2048,3,512,512,256,2,20,9.0630,8.330,,,,
combo,2048,2048,3,0,0,256,2,20,8.6196,8.759,,,,
tile,2048,2048,3,16,16,0,0,20,12.2843,6.146,,,,
tile,2048,2048,3,32,32,0,0,20,11.5335,6.546,,,,
tile,2048,2048,3,64,64,0,0,20,10.1584,7.432,,,,
tile,2048,2048,3,128,128,0,0,20,9.9340,7.600,,,,
tile,2048,2048,3,256,256,0,0,20,11.8300,6.382,,,,
tile,2048,2048,3,512,512,0,0,20,12.3012,6.137,,,,
naive,512,512,5,0,0,0,0,20,2.6790,4.893,,,,
reorder,512,512,5,0,0,0,0,20,1.7321,7.567,,,,
unroll,512,512,5,0,0,0,0,20,1.4512,9.032,,,,
simd,512,512,5,0,0,0,0,20,1.1341,11.558,,,,
simd128,512,512,5,0,0,0,0,20,0.9912,13.224,,,,
simd256,512,512,5,0,0,0,0,20,1.0585,12.383,,,,
optimized,512,512,5,0,0,0,0,20,0.5646,23.216,,,,
combo,512,512,5,16,16,0,1,20,2.6887,4.875,,,,
combo,512,512,5,32,32,0,1,20,3.3574,3.904,,,,
combo,512,512,5,64,64,0,1,20,3.4440,3.806,,,,
combo,512,512,5,128,128,0,1,20,2.7585,4.751,,,,
combo,512,512,5,256,256,0,1,20,2.1805,6.011,,,,
combo,512,512,5,512,512,0,1,20,2.1445,6.112,,,,
combo,512,512,5,0,0,0,1,20,2.1421,6.119,,,,
combo,512,512,5,16,16,0,2,20,2.6845,4.883,,,,
combo,512,512,5,32,32,0,2,20,2.7415,4.781,,,,
combo,512,512,5,64,64,0,2,20,2.9541,4.437,,,,
combo,512,512,5,128,128,0,2,20,2.5420,5.156,,,,
combo,512,512,5,256,256,0,2,20,2.2619,5.795,,,,
combo,512,512,5,512,512,0,2,20,2.1486,6.100,,,,
combo,512,512,5,0,0,0,2,20,2.1942,5.974,,,,
combo,512,512,5,16,16,128,1,20,1.3573,9.657,,,,
combo,512,512,5,32,32,128,1,20,0.9144,14.335,,,,
combo,512,512,5,64,64,128,1,20,0.8846,14.817,,,,
combo,512,512,5,128,128,128,1,20,0.8089,16.205,,,,
combo,512,512,5,256,256,128,1,20,0.8992,14.576,,,,
combo,512,512,5,512,512,128,1,20,1.0221,12.824,,,,
combo,512,512,5,0,0,128,1,20,1.0539,12.437,,,,
combo,512,512,5,16,16,128,2,20,1.3734,9.543,,,,
combo,512,512,5,32,32,128,2,20,0.7893,16.605,,,,
combo,512,512,5,64,64,128,2,20,0.6187,21.186,,,,
combo,512,512,5,128,128,128,2,20,0.6794,19.292,,,,
combo,512,512,5,256,256,128,2,20,0.6788,19.310,,,,
combo,512,512,5,512,512,128,2,20,1.0496,12.488,,,,
combo,512,512,5,0,0,128,2,20,1.0460,12.531,,,,
combo,512,512,5,16,16,256,1,20,1.1636,11.264,,,,
combo,512,512,5,32,32,256,1,20,1.0246,12.793,,,,
combo,512,512,5,64,64,256,1,20,0.5768,22.723,,,,
combo,512,512,5,128,128,256,1,20,0.4842,27.067,,,,
combo,512,512,5,256,256,256,1,20,0.5606,23.383,,,,
combo,512,512,5,512,512,256,1,20,1.1178,11.726,,,,
combo,512,512,5,0,0,256,1,20,1.1443,11.455,,,,
combo,512,512,5,16,16,256,2,20,1.0699,12.251,,,,
combo,512,512,5,32,32,256,2,20,1.0172,12.885,,,,
combo,512,512,5,64,64,256,2,20,0.4982,26.309,,,,
combo,512,512,5,128,128,256,2,20,0.5109,25.653,,,,
combo,512,512,5,256,256,256,2,20,0.5656,23.175,,,,
combo,512,512,5,512,512,256,2,20,1.1472,11.425,,,,
combo,512,512,5,0,0,256,2,20,1.1078,11.832,,,,
tile,512,512,5,16,16,0,0,20,1.4531,9.020,,,,
tile,512,512,5,32,32,0,0,20,1.8218,7.195,,,,
tile,512,512,5,64,64,0,0,20,2.3219,5.645,,,,
tile,512,512,5,128,128,0,0,20,2.1555,6.081,,,,
tile,512,512,5,256,256,0,0,20,1.9337,6.778,,,,
